,THYM,CHOL,KICH,SKCM,PAAD,TGCT,SARC,THCA,COAD,GBM,BRCA,KIRP,READ,DLBC,PRAD,ESCA,ACC,LUSC,UCEC,STAD,LUAD,PCPG,LIHC,UVM,KIRC,BLCA,HNSC,CESC,UCS,MESO,OV,LGG
CEACAM21,0.5991322951397979,0.49314910503848153,0.38605428185271096,0.42949279075658625,0.4455835241363112,0.34340126702774826,0.3979313921634545,0.41765743482704676,0.34611288470546575,0.3538371783267552,0.32757360502574884,0.33022842790833246,0.19800104499200058,0.5297848388181525,0.2917874167222384,0.3990748687307794,0.22561146811174357,0.28834363410091546,0.1399736730194176,0.24508939006887717,0.24712429390149657,0.22945674077157172,0.20774844276341273,0.2052988836358258,0.17751664671279302,0.22954448975644584,0.10195055165799437,0.17275928100307358,0.1429177006967646,0.060569105691056904,0.11355898211017712,-0.006337541870218838
IL16,0.7910689332288567,0.5512503771881215,0.495052194763862,0.25356859473118487,0.5208121024555507,0.4138899651450043,0.39922391570545895,0.39158779589118337,0.46627548011350545,0.4166920388777181,0.42149808047605525,0.3989461535823013,0.502318356218577,0.31734929816876123,0.39252424837051586,0.25438529937143173,0.39065036982867135,0.3024983841432434,0.30304277645441935,0.3192484892911724,0.26981206847347167,0.22894510737031798,0.23780962994944185,0.06969539409526705,0.25532864220961227,0.1579883834613265,0.21856978036515862,0.17964716459923394,0.17627614097460387,0.08405600722673894,0.14883944257159137,-0.03805506225128862
S1PR4,0.7781507694941101,0.6774168367558253,0.5842171221807411,0.5946851936035671,0.2965267922624133,0.5221762454371311,0.5233450176139348,0.4496275830324201,0.3848811648290887,0.4286016031039136,0.4669639036292506,0.4882003153147909,0.39854056491979595,0.4329322513680673,0.36337407866987925,0.40423282179603015,0.3643645365883287,0.362010709114765,0.3245212132130303,0.26660144798973434,0.26756692067682186,0.3992147529724622,0.28656367670893024,0.34023350215735165,0.2098064426490508,0.22559503856915386,0.2362591652313822,0.2303942224182939,0.025883251785174415,0.23398825654923217,0.1929400181483592,0.12887284813066754
IL21R,0.46896156404929895,0.5295109256933787,0.35014613969466085,0.5177118764107747,0.43868134354434996,0.40277538645624833,0.35461682893377844,0.4093993046058521,0.45110532195198305,0.36235546810775365,0.34440401195890835,0.3378425611244736,0.4286496981860297,0.2220378167613335,0.36010934389242166,0.3186123564151806,0.20661119319155263,0.20066013660986629,0.32197878010659164,0.229106333193735,0.16249937244294793,0.07741048343554938,0.20154070134814633,0.22888815897017642,0.14529663637087592,0.1623224977692886,0.19167213551849066,0.1544576344278455,0.1606012963820555,0.048193315266486,-0.10032880943714677,-0.10744451712843887
